"Run.ID","time","Are.N","Ace.N","Are.S","Ace.S","S","RelPrice_N","RelLabor_N","Labor.re_N","Price.re_N","Agg.demand.re.tech_N","Profits.re_N","Yre_N","sre_N","Labor.ce_N","Price.ce_N","Agg.demand.ce.tech_N","Profits.ce_N","Yce_N","sce_N","Y_N","RelPrice_S","RelLabor_S","Labor.re_S","Price.re_S","Agg.demand.re.tech_S","Profits.re_S","Yre_S","sre_S","Labor.ce_S","Price.ce_S","Agg.demand.ce.tech_S","Profits.ce_S","Yce_S","sce_S","Y_S","Delta.Temp","Gamma.re.t_N","Gamma.re.t_S","Gamma.ce.t_N","Gamma.ce.t_S","L_N","L_S","Consumption_N","Consumption_S","Utility.Consumer_N","Utility.Consumer_S","CO2.Concentration","Cost.S.Damage","policy.status","dS.lag","time.300yr","Are.N.300yr","Ace.N.300yr","Are.S.300yr","Ace.S.300yr","S.300yr","RelPrice_N.300yr","RelLabor_N.300yr","Labor.re_N.300yr","Price.re_N.300yr","Agg.demand.re.tech_N.300yr","Profits.re_N.300yr","Yre_N.300yr","sre_N.300yr","Labor.ce_N.300yr","Price.ce_N.300yr","Agg.demand.ce.tech_N.300yr","Profits.ce_N.300yr","Yce_N.300yr","sce_N.300yr","Y_N.300yr","RelPrice_S.300yr","RelLabor_S.300yr","Labor.re_S.300yr","Price.re_S.300yr","Agg.demand.re.tech_S.300yr","Profits.re_S.300yr","Yre_S.300yr","sre_S.300yr","Labor.ce_S.300yr","Price.ce_S.300yr","Agg.demand.ce.tech_S.300yr","Profits.ce_S.300yr","Yce_S.300yr","sce_S.300yr","Y_S.300yr","Delta.Temp.300yr","Gamma.re.t_N.300yr","Gamma.re.t_S.300yr","Gamma.ce.t_N.300yr","Gamma.ce.t_S.300yr","L_N.300yr","L_S.300yr","Consumption_N.300yr","Consumption_S.300yr","Utility.Consumer_N.300yr","Utility.Consumer_S.300yr","CO2.Concentration.300yr","Cost.S.Damage.300yr","policy.status.300yr","dS.lag.300yr","Y.Total_N","Y.Total_S","Consumption.Total_N","Consumption.Total_S","Utility.Consumer.Total_N","Utility.Consumer.Total_S","Y.Total_N.300","Y.Total_S.300","Consumption.Total_N.300","Consumption.Total_S.300","Utility.Consumer.Total_N.300","Utility.Consumer.Total_S.300","Policy.Start.Time","Policy.Duration","ce.tax_N","RD.subsidy_N","RD.subsidy.GF_N","Tec.subsidy_N","Tec.subsidy.GF_N","ce.tax_S","RD.subsidy_S","Tec.subsidy_S","epsilon","alfa","Eta.re","Eta.ce","Gamma.re","Gamma.ce","Nu.re","Nu.ce","k.re","k.ce","labor.growth_N","labor.growth_S","lambda.S","sigma.utility","rho","Yre.0_N","Yce.0_N","Yre.0_S","Yce.0_S","size.factor","TimeStep","EndTime","Climate.Model","Beta.Delta.Temp","CO2.base","CO2.Disaster","Delta.Temp.Disaster","qsi","Delta.S","S.0","Future.ID","policy.name"
1,2112,162.14350367358,301.09905515814,24.8245156001451,150.432337997154,492.723498276164,1.51391883600254,0.436309646550596,0.303771298618251,1.81437323668623,119.841004863344,26.4968461752854,66.0509108270477,1.35821259427983e-15,0.696228701381749,1.19846136631541,274.669620098457,60.7294530037689,229.18521015234,0.999999999999999,394.510624961801,3.34386305533235,0.0894340779723566,0.328368938628431,3.49018912565159,52.6580996495371,11.6427058325126,15.087463101217,3.30403772008657e-52,3.67163106137157,1.04375958820619,588.792335577197,130.181985396118,564.107235258167,1,641.450435226734,5.11494596187222,0.25,0.25,0.25,0.25,1,4,351.548417903461,142.899120707636,0.000720830302764541,0.000717625156413342,805.492701723836,0.936931697720251,0,-7.01902023796237,2312,162.14350367358,818.47209020424,24.8245156001451,409.192933464215,-2694.65344634227,2.95855668973394,0.114245791108772,0.102531947637054,3.12298858249105,90.9753072781037,20.1146404391887,29.1308485045876,1.86977603812387e-68,0.897468052362946,1.05557841542387,796.31211264043,176.064608104799,754.384611322947,1,887.287419918533,6.53765079515743,0.0233968053226528,0.091447638690943,6.61368867723773,38.0711666758874,8.41753495203869,5.75641953134512,2.5605457325996e-153,3.90855236130906,1.01163076531047,1627.19508714409,359.772833767558,1608.48715059066,1,1665.26625381998,7.5,0.25,0.25,0.25,0.25,1,4,790.661819889405,370.979689694745,-100,-100,3992.86964634227,0,0,-28.4914245131908,7089.11779994922,10508.1429494002,6291.0146855471,2340.37814197746,3.28210999690627,3.25500567750364,31261.4835319326,53753.2103997698,27831.0097893175,11974.2980432335,-2896.71626627098,-2896.74337755812,10.6230263797885,59.995727322116,0.5,0,0,0,0,0.149410686375861,0,0,3,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,0.015,45.55074,193.2,27.82166,257.54634,4,5,300,"bcc-csm1-1",4.997053041,289.4150457,1298.216153,7.5,0.0100539,0.001822767,915.9700854,1,"Nordhaus"
2,2112,161.835035478377,301.672911833754,24.8245156184789,150.43727917837,530.852321466832,1.51778663567908,0.434088770368891,0.30269309636755,1.81760179121997,119.505149239598,26.422588496875,65.7488069261784,1.09666608021628e-15,0.697306903632451,1.19753445477318,275.301176618878,60.8690901504339,229.889983976304,0.999999999999999,394.806325858475,3.34393664227225,0.0894301418285768,0.328355672915276,3.49025962752501,52.65755991142,11.642586496415,15.0870036991375,3.28915456967778e-52,3.67164432708472,1.04375770264395,588.812215151756,130.186380770053,564.127300483849,1,641.469775063176,4.8726236945952,0.25,0.25,0.25,0.25,1,4,351.811916972487,142.903429139699,0.605460937362756,0.602791769612354,767.363878533169,0.945411420526721,0,-6.95677106343138,2312,161.835035478377,820.031994377515,24.8245156184789,409.869148273266,-2645.34821508344,2.96611528821015,0.113664264300176,0.102063312924567,3.13015014064086,90.6967479470319,20.0530509710887,28.9752068980509,1.22789986749095e-68,0.897936687075433,1.0553029253727,797.935468156557,176.423532009415,756.119829644888,1,888.632216103588,6.5448873945386,0.0233450948216388,0.0912501362043764,6.62084216751844,38.0502871767559,8.41291849478072,5.74704640497683,1.39995265802879e-153,3.90874986379562,1.01160520699611,1629.90501719816,360.371999302514,1611.20663073498,1,1667.95530437492,7.5,0.25,0.25,0.25,0.25,1,4,791.860167769908,371.578742932123,-100,-100,3943.56441508344,0,0,-28.4461666704732,7130.63117594159,10293.7379107399,6332.55981345789,2286.85711107352,16.4955522251546,16.3880582122812,31333.0821612752,53590.0323415244,27899.3638864887,11932.1891028915,-2877.7520376333,-2877.88355849019,10.1030170974168,59.9152799198714,0.444711103204491,0,0,0,0,0.49999375,0,0,3,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,0.001,45.55074,193.2,27.82166,257.54634,4,5,300,"bcc-csm1-1",4.997053041,289.4150457,1298.216153,7.5,0.0100539,0.001822767,915.9700854,2,"Nordhaus"
3,2112,306.010250610705,255.609050920496,123.79505419118,81.5460730471826,879.531439644703,0.886406576751523,2.96007880285039,0.747479772553966,1.03286724771222,240.047600297087,53.0745244256859,232.408957519747,0.999999999999999,0.252520227446034,1.1652296754131,81.0950033039439,17.930105230502,69.5957243581131,5.55111512312578e-16,321.142603601031,0.756012258661669,12.3948267745288,3.70137725053628,1.00865831052252,464.146213117601,102.622727720302,460.161987737111,1,0.298622749463718,1.33418248046414,37.4467688464527,8.27948059195069,28.0672017469646,0,501.592981964054,1.84519495373908,0.25,0.25,0.25,0.25,1,4,286.170174068879,111.742376557042,0.000720485730385572,0.000716521299645052,418.684760355297,0.994823796930271,0,0,2312,831.8221035589,255.609050920496,405.16526714139,81.5460730471826,879.531439644703,0.453581848729566,1230.54924651442,0.999188014606131,1.00009026132137,831.258649391576,183.791287380477,831.183625659221,1,0.000811985393868933,2.20487275697322,0.675518392901501,0.149357116670522,0.306375227670204,0,831.934167784477,0.341606767006153,15785.6261520746,3.99974662097135,1.00000703855405,1620.57543267287,358.309228163971,1620.56402624537,1,0.000253379028645354,2.92736308275778,0.102661460309567,0.0226984488744453,0.0350696027131875,0,1620.67809413318,1.84519495373908,0.25,0.25,0.25,0.25,1,4,741.336536912748,361.046562420518,3.77460447478711e-10,3.76920625185006e-10,418.684760355297,0.994823796930271,0,3.49266065312181e-14,5634.50365214272,7721.83329478319,4989.14672537054,1711.65302239478,3.27895574652441,3.24518688178288,27051.3082821762,47432.6818811522,24073.6613311934,10558.2373162231,3.28061000948872,3.24683318231412,10.4356114924392,59.9985649340044,0.460988459339791,0,0,0,0,0.409621516428051,0,0,10,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,0.015,45.55074,193.2,27.82166,257.54634,4,5,300,"bcc-csm1-1",4.997053041,289.4150457,1298.216153,7.5,0.0100539,0.001822767,915.9700854,3,"Nordhaus"
4,2112,306.175989229547,255.470676361646,123.893584029997,81.4520129472703,879.978239626458,0.885763646148342,2.97947217192206,0.748710392535047,1.03267847919358,240.507411133791,53.1761886016812,232.896701131607,1,0.251289607464953,1.16586234226714,80.7214826170501,17.8475198066298,69.2375760761593,4.44089209850063e-16,321.228893750841,0.755025315387124,12.5414103857146,3.70460979424863,1.0085604805388,464.854009002629,102.779221390481,460.90841151568,1,0.295390205751371,1.33579690638807,37.0655288923583,8.19518843810043,27.7478774768102,0,501.919537894988,1.8398594948107,0.25,0.25,0.25,0.25,1,4,286.247067221375,111.815125054556,0.605154260040466,0.601827528257172,418.237960373542,0.99485652721271,0,0,2312,832.272627692268,255.470676361646,405.396290397621,81.4520129472703,879.978239626458,0.453252855676995,1238.61136022912,0.999193295550458,1.00008967402166,831.712535143143,183.891641520149,831.637958822809,1,0.000806704449542292,2.20647186552833,0.671487895112874,0.148465973609456,0.304326515829872,0,832.384023038256,0.341212375551893,15950.6002413298,3.9997492414592,1.00000696575762,1621.5003630388,358.513730267878,1621.48906813896,1,0.000250758540803712,2.93074647172503,0.101657639117386,0.0224765040088541,0.0346866029177717,0,1621.60202067792,1.8398594948107,0.25,0.25,0.25,0.25,1,4,741.73740292939,361.252390156523,0.22366217147689,0.223342504579801,418.237960373542,0.99485652721271,0,0,5649.47100024186,7744.16225152893,5004.13292474622,1717.21939648116,16.4808109580675,16.3372425979645,27077.1309172264,47479.276002403,24098.3206767711,10569.2093623321,31.6238354328216,31.4330859114896,10.3272539883288,59.9324049320164,0.427630078132493,0,0,0,0,0.381451363019151,0,0,10,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,0.001,45.55074,193.2,27.82166,257.54634,4,5,300,"bcc-csm1-1",4.997053041,289.4150457,1298.216153,7.5,0.0100539,0.001822767,915.9700854,4,"Nordhaus"
5,2112,120.124980666472,406.420475143987,24.8245156001451,174.0114923284,15.5790220450664,2.26286844549065,0.195290621286659,0.163383379580474,2.47397930500586,75.8576715771761,16.7721311857136,30.6622094306469,9.67298430302433e-31,0.836616620419526,1.09329347445535,388.434790556725,85.8829321920918,355.288675577462,1,464.292462133901,3.68652420393427,0.0735810228673334,0.274151726977485,3.81974615729805,50.3013894835447,11.1216372148117,13.1687780842291,1.53903305215997e-61,3.72584827302252,1.03613755016761,683.619057243036,151.148173556435,659.776356075939,1,733.92044672658,7.40083339927733,0.25,0.25,0.25,0.25,1,4,413.731013007519,163.499127519514,0.000720223857697843,0.000715936105597804,955.290677954933,0.623782287724578,0,-10.0510177874828,2312,120.124980666472,1104.76539230223,24.8245156001451,541.641078068025,-4929.561291076,4.42218196787971,0.0511360032979847,0.0486483225172987,4.53383869993635,55.7829268958444,12.3336051366712,12.3036858141044,4.05485284245057e-100,0.951351677482701,1.02524923959883,1090.87381293334,241.192200039561,1064.0084096626,1,1146.65673982918,7.88890349444643,0.0160681809308913,0.0632563098912127,7.95203108298057,34.6722283420605,7.66602968642957,4.36017263768852,1.34928796215944e-204,3.93674369010879,1.00800207387232,2157.81913902915,477.093811639345,2140.68918602491,1,2192.49136737121,7.5,0.25,0.25,0.25,0.25,1,4,1021.78582086179,488.432264366121,-100,-100,5900.430991076,0,0,-45.5791636762523,7979.4934126345,11130.0871521774,7104.37186798837,2478.5645727036,3.28236877969068,3.25486380830451,38237.4077579261,66029.0813373778,34067.1993410777,14708.6880023116,-3996.71763122031,-3996.7451361917,9.95655470091277,59.9996639616763,0.228232489731082,0,0,0,0,0.191107045191187,0,0,3,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,0.015,45.55074,193.2,27.82166,257.54634,4,5,300,"MIROC-ESM-CHEM",6.130331874,285.6500417,970.869657,7.5,0.010039094,0.002779791,589.8958142,5,"Nordhaus"
6,2112,161.724038119575,301.879983352429,24.8245156002953,150.578492840952,183.147471111989,1.51918277014538,0.433291278682863,0.302305110710672,1.81876779416906,119.384326270711,26.3958745384543,65.6402244714557,1.01529795470812e-15,0.697694889289329,1.19720143613465,275.52903126419,60.9194688125124,230.144253880766,0.999999999999999,394.913357534901,3.34603939007056,0.0893177761782093,0.327976934303135,3.49227427329294,52.6421422680582,11.6391776554677,15.0738854249328,2.89101282985973e-52,3.67202306569687,1.04370387379669,589.38035092841,130.311995590271,564.700741010396,1,642.022493196468,6.21847539172152,0.25,0.25,0.25,0.25,1,4,351.907292899351,143.026560921843,0.605318636346424,0.602444299687786,787.722228888011,0.876818305111357,0,-7.4039321196827,2312,161.724038119575,820.594873126438,24.8245156002953,410.16444857372,-3393.342493968,2.96884366629491,0.113455444555995,0.101894912015305,3.13273565991442,90.5965746721484,20.030902660012,28.9193166954352,1.05512329700173e-68,0.898105087984695,1.05520398243941,798.521173018145,176.553031354312,756.745791626117,1,889.117747690293,6.54804635702209,0.0233225755888626,0.0911641202694736,6.6239649073429,38.0411831905454,8.41090560342959,5.74296267004305,1.07548643367818e-153,3.90883587973053,1.01159407648961,1631.08842956056,360.63365177584,1612.39420778411,1,1669.1296127511,7.5,0.25,0.25,0.25,0.25,1,4,792.29282496682,371.840349480627,-100,-100,4364.212193968,0,0,-33.0003208411605,7092.4516320279,10344.3870217272,6293.98103195923,2299.33314892172,16.4942306607715,16.3866125415487,31305.7707806471,53672.9102806363,27870.4697252938,11951.8449179252,-3581.23069631069,-3581.34992879711,10.7827975398882,59.4784963314643,0.5,0,0,0,0,0.448596613184334,0,0,3,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,0.001,45.55074,193.2,27.82166,257.54634,4,5,300,"MIROC-ESM-CHEM",6.130331874,285.6500417,970.869657,7.5,0.010039094,0.002779791,589.8958142,6,"Nordhaus"
7,2112,306.388712407381,255.293370147832,124.020034030893,81.3314259720165,552.446055242669,0.884939823227659,3.00452862989398,0.750282719285621,1.03243779624496,241.096044963378,53.3063355414028,233.521133999799,1,0.249717280714379,1.16667570963112,80.2442162023549,17.7419962023407,68.7802236216326,3.33066907387547e-16,321.340261165733,0.753760859664369,12.7320331331207,3.70871028629022,1.00843651927135,465.758054469601,102.979105843229,461.86155059729,1,0.291289713709783,1.33787328745138,36.5815930260181,8.08819021805259,27.3430924805331,0,502.339647495619,2.34011409124898,0.25,0.25,0.25,0.25,1,4,286.346306724784,111.908714970836,0.000720478066525474,0.000716507360110619,418.423644757331,0.991220749790262,0,0,2312,832.850869398725,255.293370147832,405.692801362077,81.3314259720165,552.446055242669,0.452831298364388,1249.02770780711,0.999200017732603,1.00008892644527,832.295058455745,184.020437424565,832.221051995909,1,0.000799982267396512,2.20852430045706,0.666354359677884,0.14733094892478,0.301719279040751,0,832.961412815424,0.340706898482814,16164.8491619723,3.99975256480746,1.00000687343601,1622.6874695524,358.776199518035,1622.67631619058,1,0.000247435192542151,2.93509429333274,0.100383706231528,0.0221948374477909,0.0342011861286897,0,1622.78785325863,2.34011409124898,0.25,0.25,0.25,0.25,1,4,742.251914959824,361.516564009691,3.77459218882298e-10,3.76918173101188e-10,418.423644757331,0.991220749790262,0,0,5690.46544114268,7776.70714583311,5045.15022492401,1725.33407396323,3.27907140877195,3.24549526364432,27132.0640068411,47542.9693478688,24151.7587068178,10584.2631360217,3.28072565622678,3.24714153599976,10.1885739581885,59.9992536434141,0.352981941522818,0,0,0,0,0.343383571686705,0,0,10,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,0.015,45.55074,193.2,27.82166,257.54634,4,5,300,"MIROC-ESM-CHEM",6.130331874,285.6500417,970.869657,7.5,0.010039094,0.002779791,589.8958142,7,"Nordhaus"
8,2112,308.023325743918,253.938634239371,124.991350987516,80.4079404142769,558.28132708632,0.878652737557862,3.20364659631604,0.7621113057229,1.03064491810558,245.565742325999,54.2945856282783,238.264156754754,1,0.2378886942771,1.17298322084578,76.6519448831782,16.9477450136707,65.3478613512549,0,322.217687209177,0.744116121691033,14.2966266248306,3.73850443642869,1.00754036567231,472.549380037524,104.480667926297,469.012851631211,1,0.261495563571311,1.35400959111413,33.0532084552585,7.30806438945766,24.4113547438471,0,505.602588492783,2.25401968850539,0.25,0.25,0.25,0.25,1,4,287.128181072098,112.63561665148,0.605154536111141,0.601851317759017,412.58837291368,0.991932011765316,0,-2.3965736810329e-14,2312,837.294209117223,253.938634239371,407.97112843999,80.4079404142769,558.28132708632,0.449614142701824,1331.80403897467,0.999249702153687,1.00008340119553,836.7701388917,185.009877708955,836.700357081617,1,0.000750297846313031,2.22431482067229,0.62829824388873,0.138916741723798,0.282468218100003,0,837.398437135589,0.336843809740256,17911.9498383469,3.99977669786182,1.00000620302956,1631.80852051411,360.792863885671,1631.79839842042,1,0.000223302138179222,2.96875339285786,0.0911016687318234,0.0201425789566061,0.0306868428179292,0,1631.89962218285,2.25401968850539,0.25,0.25,0.25,0.25,1,4,746.205747331524,363.546438331784,0.223663099435472,0.223344611221072,412.58837291368,0.991932011765316,0,1.32105816707992e-14,5610.76847844187,7662.14289739502,4965.66301800138,1696.55490393963,16.4796562580129,16.3311121730207,27159.6871087063,47667.9183855866,24167.90440943,10608.8415383215,31.622762277737,31.4273113829894,9.1256141681537,60.1417695924394,0.499986258772416,0,0,0,0,0.499978813100595,0,0,10,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,0.001,45.55074,193.2,27.82166,257.54634,4,5,300,"MIROC-ESM-CHEM",6.130331874,285.6500417,970.869657,7.5,0.010039094,0.002779791,589.8958142,8,"Nordhaus"
9,2112,188.818089353777,258.562362273796,24.8245156298999,147.115676685404,604.814211257155,1.21366542090204,2.29126763352232,0.696165699253756,1.57257233661709,278.959282656202,123.355794781601,168.498150112361,1,0.303834300746244,1.2957214645271,115.64582232173,25.5692913153345,89.2520695903865,0,358.639459798775,3.29428655760122,0.310993297266313,0.948878374633331,3.44272042483733,149.086128494224,32.962943010073,43.3047445324488,1.92170183353457e-32,3.05112162536667,1.04505797071406,479.38695079514,105.992454820806,458.718046490368,1,608.533094527328,4.36616634948972,0.25,0.25,0.25,0.25,1,4,315.666963866678,135.023094048179,0.000720639284520962,0.000717446917438028,693.401988742845,0.959901765127383,1,-4.37979551243474,2312,513.260781212612,258.562362273796,24.8245156298999,217.56341786214,-773.005198432872,0.621043006407778,8.75045077572496,0.897440639104642,1.17715522162883,634.456273863229,280.556564281915,511.956326552633,1,0.102559360895358,1.89544880061962,68.8709734496411,15.2273722297156,36.3349162621154,0,649.085222344107,4.28166228977429,0.184097952039147,0.621901090943059,4.39688889598943,140.773447451472,31.1250092315204,32.0166032805324,1.23671513428094e-60,3.37809890905694,1.02691165216144,764.66601552166,169.067656031839,744.626876043519,1,885.835009612123,7.5,0.25,0.25,0.25,0.25,1,4,572.492885111736,196.808163023587,-100,-100,2071.22139843287,0,1,-9.23720280053582,6924.37079427811,10111.5774051155,6103.60594254933,2242.52587735417,3.2820013975186,3.25412917963959,26112.8431417216,41035.9886716083,23007.6679490279,9110.14243821558,-1896.71634508994,-1896.74422429467,9.54959920793753,300,0.5,0.999999999854542,0,0.0501282942987178,0,0.5,0,0,3,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,0.015,45.55074,193.2,27.82166,257.54634,4,5,300,"bcc-csm1-1",4.997053041,289.4150457,1298.216153,7.5,0.0100539,0.001822767,915.9700854,1,"Nordhauds+TechnologyPolicy"
